01/28/2013, 10:03, Short, WM, -431.0000, 37.3600, -16102.16, 3.00
01/28/2013, 13:19, Cover, WM, 431.0000, 36.0500, 15537.55, 3.00
01/28/2013, 13:19, Cover, EBAY, 355.0000, 55.8100, 19812.55, 3.00
01/28/2013, 15:09, Cover, WCC, 763.0000, 73.6900, 56225.47, 3.00
01/29/2013, 09:53, Short, TSN, -2195.0000, 22.7313, -49895.25, 3.00
01/29/2013, 09:56, Short, IBN, -300.0000, 46.8500, -14055.00, 3.00
01/29/2013, 09:56, Short, IBN, -339.0000, 46.8400, -15878.76, 0.00
01/29/2013, 10:02, Short, PHG, -997.0000, 30.1100, -30019.67, 3.00
01/29/2013, 15:24, Cover, TSN, 2195.0000, 22.4982, 49383.50, 3.00
01/30/2013, 09:50, Short, LUX, -943.0000, 46.6311, -43973.09, 3.00
01/30/2013, 14:16, Cover, IBN, 639.0000, 46.5300, 29732.67, 3.00
01/31/2013, 09:51, Short, CPRT, -660.0000, 35.6600, -23535.60, 3.00
01/31/2013, 14:53, Cover, LUX, 943.0000, 46.0500, 43425.15, 3.00
02/01/2013, 09:49, Short, ENL, -1566.0000, 31.8100, -49814.46, 3.00
02/04/2013, 09:48, Cover, CPRT, 660.0000, 34.8700, 23014.20, 3.00
02/04/2013, 09:49, Cover, ENL, 603.0000, 31.4400, 18958.32, 3.00
02/04/2013, 09:51, Cover, ENL, 963.0000, 31.4799, 30315.18, 0.00
02/04/2013, 09:57, Cover, PHG, 300.0000, 31.0900, 9327.00, 3.00
02/04/2013, 09:57, Cover, PHG, 697.0000, 31.0999, 21676.63, 0.00
02/05/2013, 09:57, Short, CYH, -400.0000, 39.0105, -15604.20, 3.00
02/05/2013, 09:58, Short, CYH, -250.0000, 38.9700, -9742.50, 0.00
02/05/2013, 10:09, Short, UIS, -2000.0000, 23.8805, -47761.00, 3.00
02/05/2013, 10:13, Short, MNTX, -100.0000, 10.8400, -1084.00, 3.00
02/05/2013, 10:13, Short, MNTX, -1900.0000, 10.7803, -20482.50, 0.00
02/05/2013, 10:24, Cover, CYH, 650.0000, 38.1900, 24823.50, 3.00
